flight,chain_id,lat,long,alt,mph,dt_seconds,heading_sin,heading_cos,vertical_speed,horizontal_speed,delta_lat,delta_lon,delta_alt
N28VJ,12,34.5046,-118.291,16650,226,600.0,0.9855341486170852,0.1694769657198201,20.875,327.14761674196785,0.08169999999999789,0.5870000000000033,12525
N2901B,5,34.6625,-118.269,5325,460,600.0,0.7851116580762237,0.6193542478685382,-0.16666666666666666,99.83878752990931,0.09259999999999735,0.14300000000000068,-100
N2901B,8,34.5995,-118.261,4950,460,600.0,0.9435058766390904,-0.33135579178203833,-0.16666666666666666,104.83614347320768,-0.052199999999999136,0.1799999999999926,-100
N2901B,8,34.5473,-118.081,4850,460,600.0,-0.5149284778459406,0.8572331437265259,-2.25,123.55609655527968,0.15870000000000317,-0.11599999999999966,-1350
N307MD,3,34.7108,-117.825,12025,460,600.0,-0.13971747110358332,-0.9901914099144767,0.0,39.281004015663534,-0.05829999999999558,-0.009999999999990905,0
N307MD,3,34.6525,-117.835,12025,460,600.0,-0.9888243208271965,-0.14908542028190896,0.041666666666666664,43.29716445059899,-0.009700000000002262,-0.07800000000000296,25
N307MD,3,34.6428,-117.913,12050,460,600.0,-0.9962051613970994,-0.08703606382287253,0.0,33.61151570411454,-0.004400000000003956,-0.06100000000000705,0
N307MD,3,34.6384,-117.974,12050,460,600.0,-0.9956806158810478,-0.09284455373761742,0.0,40.79890901413913,-0.005699999999997374,-0.07399999999999807,0
N307MD,3,34.6327,-118.048,12050,460,600.0,-0.7761822166739553,0.6305086569739587,-3.375,39.58816099687536,0.0373999999999981,-0.055999999999997385,-2025
N30VJ,6,34.5022,-117.719,30675,460,600.0,-0.801157768317463,0.5984531980569426,0.0,521.3736007692362,0.46529999999999916,-0.76400000000001,0
N369QC,5,34.6306,-117.973,13925,460,600.0,0.9106495993653612,0.41317950962711975,4.083333333333333,106.61648072569511,0.06589999999999918,0.1769999999999925,2450
N391DT,10,34.4916,-118.266,15600,460,600.0,0.9840548227632844,0.177865414840325,22.916666666666668,533.8713032512169,0.13860000000000383,0.9570000000000078,13750
N439RS,0,34.7525,-117.934,6475,460,600.0,-0.8941935944282657,-0.44768048392068444,-2.25,41.699690402734255,-0.027999999999998693,-0.06799999999999784,-1350
N439RS,2,34.7769,-118.127,5550,460,600.0,0.24717476846523415,-0.9689709148545986,-1.4166666666666667,73.25696619153437,-0.10640000000000072,0.03300000000000125,-850
N439RS,2,34.6705,-118.094,4700,460,600.0,0.4338200557015203,-0.9009995334466772,2.2916666666666665,40.50100333615575,-0.05469999999999686,0.031999999999996476,1375
N439RS,3,34.7492,-117.97,8725,460,600.0,-0.9991913863256268,-0.040206634933455554,-6.208333333333333,36.210328208191974,-0.002200000000001978,-0.0660000000000025,-3725
N439RS,3,34.747,-118.036,5000,460,600.0,-0.6563439609525277,-0.7544617981853997,-1.2916666666666667,83.6185010214935,-0.0945999999999998,-0.09999999999999432,-775
N488K,13,34.6858,-117.845,11100,460,600.0,-0.9886518705391126,-0.15022476120637915,-6.916666666666667,278.77353757679634,-0.06380000000000052,-0.5019999999999953,-4150
N488K,19,34.644,-117.861,9850,460,600.0,-0.9850038071800361,-0.1725326051528647,-3.125,273.8389912576129,-0.07179999999999609,-0.49099999999999966,-1875
N525JN,3,34.5203,-118.05,40725,465,600.0,-0.8441294744383682,0.5361393758943699,-13.083333333333334,627.1990516237313,0.5001999999999995,-0.9690000000000083,-7850
